Dom, Het, Rec, Pred
8,28,17,1
7,23,25,1
6,16,30,2
2,23,33,4
4,14,40,6
1,15,40,8
0,15,36,9
1,14,32,12
1,13,28,18
2,15,13,29
4,16,1,32
21,10,1,26
22,8,0,8
33,10,1,1
37,9,3,0
27,17,4,0
23,26,9,0
18,31,13,0
14,29,16,0
13,23,17,0
9,18,26,0
7,19,33,0
0,22,40,0
1,11,56,0
0,3,67,0
0,4,69,0
0,4,73,0
0,4,66,0
0,3,66,0
0,3,68,0
0,3,67,0
1,3,61,0
0,7,63,0
0,3,70,0
0,2,72,0
0,2,76,0
0,2,78,0
0,5,73,0
1,5,69,0
0,5,69,0
0,5,64,0
0,5,63,0
0,4,67,0
0,2,73,0
0,1,72,0
0,2,75,0
0,1,80,0
0,1,74,0
0,0,70,0
0,1,67,0
0,1,78,0
0,1,73,0
0,0,62,0
0,0,77,0
0,0,81,0
