Dom, Het, Rec, Pred
10, 18, 18, 3
10, 18, 22, 5
7, 16, 22, 7
7, 19, 26, 7
2, 20, 17, 11
4, 17, 14, 18
7, 17, 6, 24
7, 7, 4, 26
9, 10, 1, 25
9, 4, 0, 23
14, 11, 1, 14
15, 14, 4, 9
16, 16, 5, 7
14, 14, 3, 6
18, 19, 8, 7
14, 20, 9, 5
14, 24, 7, 6
17, 24, 6, 8
15, 18, 9, 6
13, 18, 9, 5
13, 26, 8, 7
16, 24, 3, 7
19, 23, 2, 10
23, 15, 4, 9
21, 23, 1, 8
21, 21, 4, 4
17, 25, 5, 4
25, 16, 14, 3
21, 21, 12, 0
21, 18, 12, 0
16, 25, 19, 0
9, 26, 20, 0
3, 13, 37, 0
2, 20, 46, 0
1, 18, 42, 0
2, 11, 52, 0
2, 13, 47, 0
0, 6, 57, 0
0, 7, 63, 0
0, 8, 61, 0
0, 6, 65, 0
0, 3, 66, 0
0, 2, 67, 0
0, 3, 67, 0
0, 2, 70, 0
0, 2, 75, 0
0, 1, 75, 0
0, 3, 74, 0
0, 2, 68, 0
1, 1, 69, 0
0, 3, 74, 0
0, 3, 74, 0
0, 2, 72, 0
0, 3, 67, 0
0, 2, 73, 0
0, 1, 77, 0
0, 1, 68, 0
0, 0, 76, 0
0, 2, 71, 0
0, 3, 75, 0
0, 2, 71, 0
0, 2, 70, 0
0, 4, 66, 0
0, 5, 67, 0
