Dom, Het, Rec, Pred
8, 21, 16, 3
7, 24, 22, 2
13, 20, 28, 2
9, 23, 28, 3
11, 20, 29, 5
7, 21, 22, 9
8, 26, 12, 14
8, 19, 8, 19
5, 17, 2, 19
7, 20, 0, 25
12, 13, 0, 26
12, 14, 0, 17
17, 18, 2, 10
19, 12, 0, 10
39, 14, 0, 6
38, 9, 0, 3
35, 10, 0, 0
45, 13, 0, 0
35, 10, 2, 0
28, 25, 2, 0
27, 24, 3, 0
28, 23, 2, 0
22, 23, 7, 0
15, 29, 12, 0
16, 17, 19, 0
11, 18, 19, 0
5, 28, 24, 0
3, 24, 24, 0
6, 23, 27, 0
4, 15, 37, 0
2, 8, 50, 0
2, 14, 56, 0
0, 15, 50, 0
0, 10, 62, 0
0, 3, 64, 0
0, 4, 68, 0
0, 2, 72, 0
0, 2, 75, 0
0, 4, 73, 0
0, 3, 67, 0
0, 5, 72, 0
0, 6, 65, 0
0, 4, 70, 0
1, 4, 67, 0
0, 5, 67, 0
0, 5, 67, 0
0, 3, 71, 0
0, 6, 66, 0
0, 9, 60, 0
1, 6, 67, 0
0, 6, 71, 0
0, 3, 77, 0
0, 3, 59, 0
0, 2, 68, 0
0, 1, 70, 0
0, 1, 63, 0
0, 2, 75, 0
