Dom, Het, Rec, Pred
12, 23, 14, 0
13, 25, 24, 0
7, 27, 28, 0
6, 23, 34, 0
4, 18, 42, 0
0, 14, 51, 0
0, 6, 60, 0
0, 9, 63, 0
0, 7, 65, 0
1, 6, 66, 0
0, 5, 65, 0
0, 5, 69, 0
1, 1, 70, 0
0, 3, 70, 0
0, 1, 70, 0
0, 3, 69, 0
0, 3, 74, 0
0, 4, 68, 0
0, 4, 61, 0
0, 4, 72, 0
0, 2, 76, 0
0, 3, 68, 0
0, 2, 68, 0
0, 5, 71, 0
0, 2, 76, 0
0, 0, 76, 0
0, 5, 71, 0
0, 1, 77, 0
0, 5, 68, 0
1, 4, 68, 0
0, 2, 73, 0
0, 1, 76, 0
0, 3, 73, 0
0, 2, 72, 0
0, 3, 65, 0
0, 2, 67, 0
0, 2, 71, 0
0, 3, 67, 0
0, 3, 72, 0
0, 2, 76, 0
0, 3, 76, 0
0, 5, 75, 0
0, 5, 71, 0
0, 3, 70, 0
0, 2, 77, 0
0, 3, 62, 0
0, 1, 68, 0
0, 3, 71, 0
0, 2, 65, 0
1, 1, 71, 0
0, 3, 67, 0
0, 3, 72, 0
